href,title
https://www.indiamart.com/proddetail/rebars-2856728514391.html?pos=1&kwd=rebar%20steel&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_B_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=5,"MILD STEELS Rebars, 16 mm, Grade: Fe 550"
https://www.indiamart.com/proddetail/tmt-construction-steel-rebars-13635629097.html?pos=2&kwd=rebar%20steel&tags=rk:TS|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_TS_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=4,SUJANA TMT Construction Steel Rebars
https://www.indiamart.com/proddetail/shinestar-fgc-rebars-2854909395655.html?pos=3&kwd=rebar%20steel&tags=rk:TS|plc:1|dt:0|db:01||dtp:p||sv:M|rsf:gd|ri:M_TS_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=3,"ShineStar FGC Rebars, For Irrigation"
https://www.indiamart.com/proddetail/tmt-bars-rebar-12-mm-2852048204530.html?pos=4&kwd=rebar%20steel&tags=rk:TS|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd|ri:T_TS_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=4,"Tmt Bars Rebar 12 Mm, Fe 550D"
https://www.indiamart.com/proddetail/round-mild-steel-rebar-20770256533.html?pos=5&kwd=rebar%20steel&tags=rk:TS|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_TS_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=5,"Round Mild Steel Rebar, for Construction"
https://www.indiamart.com/proddetail/tata-tiscon-8mm-tmt-rebars-2855886579297.html?pos=6&kwd=rebar%20steel&tags=rk:A|plc:1|dt:1358|db:28||dtp:p|pfs:1|sv:L|rsf:gl|ri:L_A_G250_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=4,Tata Tiscon 8mm TMT Rebars
https://www.indiamart.com/proddetail/tmt-rebars-steel-2855627968988.html?pos=7&kwd=rebar%20steel&tags=rk:O|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_O_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=3,Made In India Tmt Rebars Steel
https://www.indiamart.com/proddetail/thermo-mechanically-treated-steel-rebars-2854211480012.html?pos=8&kwd=rebar%20steel&tags=rk:O|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd|ri:M_O_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=3,6 mm Thermo Mechanically Treated Steel Rebars
https://www.indiamart.com/proddetail/steel-tmt-rebars-2851281134088.html?pos=9&kwd=rebar%20steel&tags=rk:O|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd|ri:T_O_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=4,TNC Steel TMT Rebars
https://www.indiamart.com/proddetail/fiber-glass-bars-2854233679812.html?pos=10&kwd=rebar%20steel&tags=rk:O|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_O_0_P-|-res:RC2|ktp:N0|stype:attr=1|mtp:S|wc:2|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15670|com-cf:nl|ptrs:na|mc:42729|cat:795|qry_typ:P|lang:en|rtn:0-0-0-0-4-4-2|tyr:1|qrd:250826|mrd:250826|prdt:250826|gli:G0I1|v=4|crs=glb|r=3,Fiber Glass Bars
