id,PROJECTNUMBER,MW,PROJECT_CITY,STATE,PROJECT_COUNTRY,CORE_MARKET,PROJECT_TYPE,SIZE_BUILDINGSIZE,NUMFLOORS,invoiceId,invoiceDate,invoiceTotal,ItemDescription,MasterItemNo,QtyShipped,UOM,ExtendedQuantity,PriceUOM,UnitPrice,ExtendedPrice,CONSTRUCTION_START_DATE,SUBSTANTIAL_COMPLETION_DATE,REVISED_ESTIMATE
3478,A0-0070,,mumbai,maharashtra,india,enterprise,workspace,9000.0,0.0,B0-0454,2023-03-28,159940.91,goldbond multi use mud 5 gallon can red,58211.0,2.0,can,2.0,,1983.125,0.01,2023-03-22,2023-05-25 12:00:00,24095235.95
8006,A0-0208,,delhi,delhi,india,wellness,health center,31200.0,,B0-1821,2023-01-12,589473.26,1 5 8 x 10 track 1 1 4 leg 20ga eq,53691.0,15.0,PC,0.15,ML,53273.0,7990.95,2022-11-01,2023-07-03 12:00:00,951166124.3
5748,A0-0004,,bengaluru,karnataka,india,enterprise,workspace,2800000.0,0.0,B0-1246,2024-02-02,544422.505,westpac fast set 20 lite 20 bag,63311.0,5.0,BG,5.0,BG,864.225,4321.125,2020-02-03,2025-10-31 00:00:00,34925565107.0
7898,A0-0166,,chennai,tamil nadu,india,tertiary learning,learning hub,184000.0,0.0,B0-1800,2023-01-04,224771.98,3 5 8 prox header clip 16ga 54mil ,61506.0,12.0,EA,12.0,EA,125.25,1503.0,2019-11-19,2025-01-24 12:00:00,15539779791.0
11030,A0-0242,,hyderabad,telangana,india,wellness,ambulatory care,25000.0,,B0-2850,2023-09-07,59264.125,6 x 16 stud 1 5 8 flange 18ga,50921.0,8.0,PC,0.128,,61.24265749999999,23780.8,2021-12-03,2023-03-02 12:00:00,686793929.5
6493,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-1455,2024-03-27,115276.76,1 1 2 x 5 x 6 verticlip slb bypass clips 50 bx,51167.0,3.0,BX,150.0,PC,438.375,65756.25,2022-08-15,2025-01-21 00:00:00,23204555261.0
6344,A0-0186,,pune,maharashtra,india,misc market,workspace,171000.0,5.0,B0-1410,2024-03-15,569605.27,2 1 2 x 10 slotted slip track 2 1 2 leg 20ga 33mil,60918.0,20.0,PC,0.2,ML,131763.0,26352.6,2021-10-18,2026-06-02 00:00:00,15701858802.0
5360,A0-0003,,ahmedabad,gujarat,india,future tech,critical ops,450000.0,,B0-1142,2024-01-10,389225.23,500 usg joint tape 10 bx,61051.0,4.0,CT,40.0,RL,655.475,26219.0,2021-07-12,2024-11-01 17:00:00,14191958070.0
4631,A0-0043,,jaipur,rajasthan,india,wellness,ambulatory care,640000.0,,B0-0839,2024-05-08,,suction cup lifter 8 in cup diameter,58185.0,2.0,,,,8998.795,0.01,2019-03-22,2025-05-07 17:00:00,39191521699.0
5376,A0-0023,,kolkata,west bengal,india,enterprise,hospitality hall,435000.0,11.0,B0-1145,2024-01-18,1896259.95,1 5 8 x 10 stud 1 5 8 flange 20ga 33mil,59950.0,15.0,PC,0.15,ML,170089.5,25513.425,2022-08-15,2025-01-21 00:00:00,23204555261.0
